INDEX,BANK NAME,INDUSTRY,START AFTER COVID19,ACTIVE MONTH,ACTIVE STATUS,TOTAL FREQUENCY,TOTAL AMOUNT (RM),AVERAGE AMOUNT (RM) PER MONTH,AVERAGE AMOUNT (RM) PER SALE,HALAL SOURCE DEFINED,HALAL SUPPLY CHAIN USAGE DEFINED,FOLLOWS HTM
328,10,2,0,3,1,979,37396,12465.33,38.2,0,0,0
393,10,3,0,14,3,2131,229195.99,16371.14,107.55,0,1,0
395,10,3,0,11,2,501,223474.33,20315.85,446.06,0,1,0
392,10,3,0,8,2,1146,209695.84,26211.98,182.98,0,1,0
397,8,3,0,8,2,21,201881.9,25235.24,9613.42,0,1,0
398,10,3,0,10,2,771,184375.68,18437.57,239.14,0,1,0
400,8,3,0,9,2,1056,169220.38,18802.26,160.25,0,1,0
401,10,3,1,7,2,654,165946.11,23706.59,253.74,0,1,0
402,10,3,0,8,2,618,163996.79,20499.6,265.37,0,1,0
404,10,3,1,6,1,161,154985.28,25830.88,962.64,0,1,0
396,10,3,0,2,1,1282,145215.9,72607.95,113.27,0,1,0
403,10,3,1,6,1,1201,145122.59,24187.1,120.83,0,1,0
405,10,3,1,5,1,863,142700.9,28540.18,165.35,0,1,0
406,10,3,1,6,1,1742,142275.5,23712.58,81.67,0,1,0
399,12,3,0,18,3,249,142103,7894.61,570.69,0,1,0
414,10,3,0,2,1,1716,133320.41,66660.21,77.69,0,1,0
407,10,3,1,7,2,195,130423.81,18631.97,668.84,0,1,0
408,10,3,0,8,2,376,125490.98,15686.37,333.75,0,1,0
409,10,3,0,8,2,455,124050,15506.25,272.64,0,1,0
412,10,3,1,6,1,317,114509.64,19084.94,361.23,0,1,0
410,10,3,0,8,2,527,113909.58,14238.7,216.15,0,1,0
415,10,3,0,10,2,315,102985.57,10298.56,326.94,0,1,0
416,10,3,1,7,2,657,102080,14582.86,155.37,0,1,0
417,10,3,1,2,1,802,100650.61,50325.31,125.5,0,1,0
413,10,3,0,4,1,821,97126.8,24281.7,118.3,0,1,0
411,10,3,0,2,1,1254,88412.9,44206.45,70.5,0,1,0
418,12,3,0,9,2,405,87800.85,9755.65,216.79,0,1,0
419,8,3,0,10,2,195,87552.59,8755.26,448.99,0,1,0
421,10,3,0,13,2,318,87108,6700.62,273.92,0,1,0
420,10,3,0,4,1,159,78349.02,19587.26,492.76,0,1,0
422,8,3,0,3,1,751,66811.05,22270.35,88.96,0,1,0
477,10,6,1,5,1,2141,223213,44642.6,104.26,0,1,0
478,8,6,1,6,1,198,169562,28260.33,856.37,0,1,0
479,10,6,1,6,1,768,149481.06,24913.51,194.64,0,1,0
481,10,6,1,5,1,1031,105738.08,21147.62,102.56,0,1,0
482,10,6,0,16,3,1538,94956.75,5934.8,61.74,0,1,0
483,10,6,1,5,1,614,89815,17963,146.28,0,1,0
480,11,6,0,2,1,1357,74386.14,37193.07,54.82,0,1,0
484,10,6,1,7,2,205,72735.7,10390.81,354.81,0,1,0
469,8,7,0,10,2,493,279205,27920.5,566.34,1,1,1
360,10,4,0,10,2,739,262698.79,26269.88,355.48,1,1,1
345,10,7,0,10,2,815,259360,25936,318.23,1,1,1
440,10,5,0,10,2,128,243672,24367.2,1903.69,1,1,1
487,10,7,0,4,1,270,240249,60062.25,889.81,1,1,1
439,10,5,0,10,2,1161,230367.3,23036.73,198.42,1,1,1
486,10,7,0,4,1,727,215190,53797.5,296,1,1,1
470,10,7,0,9,2,2823,212488,23609.78,75.27,1,1,1
455,10,5,0,2,1,918,204834,102417,223.13,1,1,1
442,10,5,0,4,1,1318,203806.66,50951.67,154.63,1,1,1
441,10,5,1,5,1,1899,199168.62,39833.72,104.88,1,1,1
436,10,5,0,3,1,1206,184304.9,61434.97,152.82,1,1,1
444,10,5,0,9,2,217,180397,20044.11,831.32,1,1,1
443,10,5,1,7,2,318,179490.9,25641.56,564.44,1,1,1
